# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01948e-05 to 7.94874 h/Mpc,
# number of wavenumbers equal to 609
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       1.001023262051e-02       1.585786801638e+07       1.582008965563e+07      -4.635487279116e+03      -4.706360518322e+03       1.057710120372e+07       4.628826996494e+06       1.582260438683e+07 
       1.013691358564e-02       1.580177673316e+07       1.576383954153e+07      -4.504468396630e+03      -4.573335851885e+03       1.048396842475e+07       4.612363467681e+06       1.576632750040e+07 
       1.026363893029e-02       1.574581337534e+07       1.570771746182e+07      -4.378462661312e+03      -4.445401128329e+03       1.039147220844e+07       4.595938073350e+06       1.571018091774e+07 
       1.039040781593e-02       1.568997863960e+07       1.565172357774e+07      -4.257225065170e+03      -4.322307584769e+03       1.029962872289e+07       4.579550993369e+06       1.565416532053e+07 
       1.051721946186e-02       1.563427362317e+07       1.559585898088e+07      -4.140525255972e+03      -4.203821339432e+03       1.020845660976e+07       4.563202558783e+06       1.559828188751e+07 
       1.064407314236e-02       1.557870492595e+07       1.554012998768e+07      -4.028147719330e+03      -4.089723577488e+03       1.011797963902e+07       4.546894714641e+06       1.554253725130e+07 
       1.077096818397e-02       1.552326949862e+07       1.548453320746e+07      -3.919886945817e+03      -3.979805643071e+03       1.002821640506e+07       4.530626601305e+06       1.548692840945e+07 
       1.089790396306e-02       1.546797152582e+07       1.542907270599e+07      -3.815551125230e+03      -3.873872788662e+03       9.939190667457e+06       4.514399478245e+06       1.543145961827e+07 
       1.102487990349e-02       1.541281848740e+07       1.537375610523e+07      -3.714960278442e+03      -3.771742276999e+03       9.850928203398e+06       4.498215559683e+06       1.537613846515e+07 
       1.115189547446e-02       1.535780223251e+07       1.531857455253e+07      -3.617940852591e+03      -3.673237894738e+03       9.763443988284e+06       4.482072439171e+06       1.532095679538e+07 
       1.127895018854e-02       1.530293000238e+07       1.526353569637e+07      -3.524332618050e+03      -3.578196956209e+03       9.676761732507e+06       4.465972262532e+06       1.526592199261e+07 
       1.140604359980e-02       1.524820132541e+07       1.520863880454e+07      -3.433982235484e+03      -3.486463773765e+03       9.590898424405e+06       4.449914912700e+06       1.521103362493e+07 
       1.153317530207e-02       1.519361982839e+07       1.515388764697e+07      -3.346745624600e+03      -3.397892061304e+03       9.505871504988e+06       4.433901500266e+06       1.515629540675e+07 
       1.166034492736e-02       1.513918834589e+07       1.509928514929e+07      -3.262486392551e+03      -3.312343336511e+03       9.421695344785e+06       4.417932886024e+06       1.510171024117e+07 
       1.178755214431e-02       1.508489981761e+07       1.504482394911e+07      -3.181073472358e+03      -3.229684522391e+03       9.338375302249e+06       4.402006992080e+06       1.504727107879e+07 
       1.191479665689e-02       1.503076135046e+07       1.499051150914e+07      -3.102385766297e+03      -3.149792663564e+03       9.255922617119e+06       4.386125894014e+06       1.499298510243e+07 
       1.204207820300e-02       1.497676702038e+07       1.493634155200e+07      -3.026305738785e+03      -3.072548422917e+03       9.174337260449e+06       4.370287845111e+06       1.493884635951e+07 
       1.216939655336e-02       1.492291962712e+07       1.488231708137e+07      -2.952723622059e+03      -2.997840352072e+03       9.093621493521e+06       4.354493695840e+06       1.488485767995e+07 
       1.229675151033e-02       1.486922288548e+07       1.482844200668e+07      -2.881535484342e+03      -2.925562927640e+03       9.013774993904e+06       4.338744560606e+06       1.483102279045e+07 
       1.242414290690e-02       1.481569157043e+07       1.477473217585e+07      -2.812644929895e+03      -2.855618275628e+03       8.934801177180e+06       4.323044792700e+06       1.477735658442e+07 
       1.255157060569e-02       1.476229926075e+07       1.472115950226e+07      -2.745952688775e+03      -2.787905602596e+03       8.856675449423e+06       4.307386559587e+06       1.472383238339e+07 
       1.267903449811e-02       1.470904606934e+07       1.466772393187e+07      -2.681369424843e+03      -2.722334202062e+03       8.779386965991e+06       4.291769852731e+06       1.467045022126e+07 
       1.280653450349e-02       1.465595249428e+07       1.461444748846e+07      -2.618813773881e+03      -2.658821463901e+03       8.702934873922e+06       4.276200724633e+06       1.461723074016e+07 
       1.293407056831e-02       1.460299447778e+07       1.456130478702e+07      -2.558200335309e+03      -2.597280680530e+03       8.627289500765e+06       4.260672097273e+06       1.456414964476e+07 
       1.306164266549e-02       1.455019202379e+07       1.450831692505e+07      -2.499455719640e+03      -2.537637337859e+03       8.552446012651e+06       4.245189848435e+06       1.451122699593e+07 
       1.318925079377e-02       1.449753546090e+07       1.445547409846e+07      -2.442505061279e+03      -2.479815421386e+03       8.478380574615e+06       4.229751101232e+06       1.445845303638e+07 
