#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.398376244327e+00       1.619360279862e-05      -1.804661839008e-03      -1.103519309202e-07       4.531634148387e-08       1.132908537097e-07       1.306468312193e-13       2.265817074193e-08      -1.353496379262e-03      -1.103518853824e-07       6.010685555597e-01       6.967641558188e-01      -1.804640537136e-03      -1.655347287349e-07       2.186412815998e-04      -1.353528352553e-03       3.063037086087e-28      -1.806499617820e-03      -1.657053959083e-07       2.188662557217e-04       3.333325304670e-01      -6.091462330169e-08      -3.289120919412e-09 
       7.474375964085e+00       1.636220476753e-05      -1.841713594226e-03      -1.137656582228e-07       4.673756990811e-08       1.168439247703e-07       1.375646505324e-13       2.336878495406e-08      -1.381285195680e-03      -1.137655996672e-07       6.010677820313e-01       6.967320950090e-01      -1.841686613220e-03      -1.706774172227e-07       2.231441314940e-04      -1.381325684968e-03       5.901688212945e-28      -1.843583818954e-03      -1.708533724101e-07       2.233737285994e-04       3.333325136618e-01      -7.400169654629e-08      -5.094074734529e-09 
       7.550375683842e+00       1.653085256199e-05      -1.879137746419e-03      -1.172485848506e-07       4.818840584233e-08       1.204710146058e-07       1.447738550053e-13       2.409420292116e-08      -1.409353309830e-03      -1.172485125168e-07       6.010669905416e-01       6.967000695402e-01      -1.879104909259e-03      -1.759252419590e-07       2.276927192918e-04      -1.409402577181e-03       1.008985023818e-27      -1.881040604136e-03      -1.761065913230e-07       2.279269838077e-04       3.333324966779e-01      -8.641875494995e-08      -7.285378325517e-09 
       7.626375403600e+00       1.669954618202e-05      -1.916934161219e-03      -1.208013866675e-07       4.966916446037e-08       1.241729111509e-07       1.522836463663e-13       2.483458223019e-08      -1.437700620936e-03      -1.208012997696e-07       6.010661710811e-01       6.966680659706e-01      -1.916895287227e-03      -1.812792576147e-07       2.322870377540e-04      -1.437758933702e-03       1.587946814225e-27      -1.918869870392e-03      -1.814661116693e-07       2.325260183571e-04       3.333324795151e-01      -9.820554794651e-08      -9.860025428352e-09 
       7.702375123357e+00       1.686828562763e-05      -1.955102704216e-03      -1.244247389652e-07       5.118015718076e-08       1.279503929519e-07       1.601034101846e-13       2.559007859038e-08      -1.466327028191e-03      -1.244246366907e-07       6.010653346280e-01       6.966360943888e-01      -1.955057609013e-03      -1.867405185379e-07       2.369270795542e-04      -1.466394659059e-03       2.351824156589e-27      -1.957071442489e-03      -1.869329853880e-07       2.371708204255e-04       3.333324621733e-01      -1.093991074031e-07      -1.281521337929e-08 
       7.819251976879e+00       1.712787252943e-05      -2.014526417038e-03      -1.301361711446e-07       5.356357572163e-08       1.339089393041e-07       1.727561354298e-13       2.678178786082e-08      -1.510894812821e-03      -1.301360435755e-07       6.010640009989e-01       6.965869685967e-01      -2.014471386075e-03      -1.953508755067e-07       2.441520188629e-04      -1.510977318162e-03       3.943375350440e-27      -2.016546338660e-03      -1.955521923424e-07       2.444031727813e-04       3.333324351546e-01      -1.255342921654e-07      -1.809653161763e-08 
       7.936128830402e+00       1.738756780922e-05      -2.074829412203e-03      -1.360185028757e-07       5.602038495688e-08       1.400509623922e-07       1.862004974434e-13       2.801019247844e-08      -1.556122059211e-03      -1.360183479263e-07       6.010626151826e-01       6.965378933002e-01      -2.074763986802e-03      -2.042211934225e-07       2.514850501423e-04      -1.556220116520e-03       6.116724381319e-27      -2.076900961094e-03      -2.044316268188e-07       2.517437272332e-04       3.333324077116e-01      -1.404625897070e-07      -2.426306724754e-08 
       8.053005683924e+00       1.764737146700e-05      -2.136011203310e-03      -1.420741823498e-07       5.855172795430e-08       1.463793198858e-07       2.004734414621e-13       2.927586397715e-08      -1.602008402561e-03      -1.420739978308e-07       6.010611793901e-01       6.964888645792e-01      -2.135934910807e-03      -2.133553025901e-07       2.589261464548e-04      -1.602122709449e-03       8.956911520318e-27      -2.138134803381e-03      -2.135751224734e-07       2.591924561205e-04       3.333323798441e-01      -1.542875989739e-07      -3.130712975177e-08 
       8.169882537447e+00       1.790728350282e-05      -2.198071304923e-03      -1.483056545903e-07       6.115874935012e-08       1.528968733753e-07       2.156130728549e-13       3.057937467506e-08      -1.648553478794e-03      -1.483054382057e-07       6.010596943927e-01       6.964398774234e-01      -2.197983658451e-03      -2.227570315462e-07       2.664752807739e-04      -1.648684753275e-03       1.254725711547e-26      -2.200247364665e-03      -2.229865116461e-07       2.667493322758e-04       3.333323515513e-01      -1.671027151175e-07      -3.922191730275e-08 
       8.286759390969e+00       1.816730391668e-05      -2.261009232298e-03      -1.547153614519e-07       6.384259517263e-08       1.596064879316e-07       2.316586761382e-13       3.192129758632e-08      -1.695756924353e-03      -1.547151107957e-07       6.010581604984e-01       6.963909267594e-01      -2.260909730572e-03      -2.324302070527e-07       2.741324259303e-04      -1.695905905130e-03       1.696952401341e-26      -2.263238146025e-03      -2.326696250452e-07       2.744143285647e-04       3.333323228329e-01      -1.789922594368e-07      -4.800145448028e-08 
