# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  130       3.701817330469e+03       1.091798108389e+00       5.433505126923e-03      -4.083778636525e+01       8.436474269267e-08       3.000301050940e-04      -1.835683770715e-06 
  131       3.736437345607e+03       1.096355430023e+00       5.521646749938e-03      -4.126692057681e+01       8.385547462392e-08       2.974011379398e-04      -1.824850445238e-06 
  132       3.771050764497e+03       1.100435716094e+00       5.610670008642e-03      -4.168007749184e+01       8.334887414041e-08       2.947979959393e-04      -1.813176662272e-06 
  133       3.805650348069e+03       1.104035540250e+00       5.700580685952e-03      -4.207677154189e+01       8.284624560369e-08       2.922244329117e-04      -1.800736609624e-06 
  134       3.840228394674e+03       1.107152000259e+00       5.791384603160e-03      -4.245652223621e+01       8.234867993632e-08       2.896837916969e-04      -1.787611279318e-06 
  135       3.874776728385e+03       1.109782730746e+00       5.883087619305e-03      -4.281885444378e+01       8.185703090715e-08       2.871789739926e-04      -1.773888693950e-06 
  136       3.909286687301e+03       1.111925915924e+00       5.975695630562e-03      -4.316329867547e+01       8.137189048405e-08       2.847124096056e-04      -1.759664136040e-06 
  137       3.943749111851e+03       1.113580302322e+00       6.069214569621e-03      -4.348939136612e+01       8.089356324004e-08       2.822860251165e-04      -1.745040380383e-06 
  138       3.978154333092e+03       1.114745211518e+00       6.163650405069e-03      -4.379667515661e+01       8.042203979874e-08       2.799012119571e-04      -1.730127929389e-06 
  139       4.012492161016e+03       1.115420552870e+00       6.259009140769e-03      -4.408469917599e+01       7.995696930487e-08       2.775587939026e-04      -1.715045251431e-06 
  140       4.046751872849e+03       1.115606836245e+00       6.355296815248e-03      -4.435301932358e+01       7.949763090580e-08       2.752589939761e-04      -1.699919022187e-06 
  141       4.080922201356e+03       1.115305184754e+00       6.452519501074e-03      -4.460119855107e+01       7.904290423005e-08       2.730014007675e-04      -1.684884368971e-06 
  142       4.114991323143e+03       1.114517347479e+00       6.550683304238e-03      -4.482880714458e+01       7.859123884842e-08       2.707849341655e-04      -1.670085118074e-06 
  143       4.148946846959e+03       1.113245712205e+00       6.649794363536e-03      -4.503542300681e+01       7.814062270388e-08       2.686078105030e-04      -1.655674045093e-06 
  144       4.182776805402e+03       1.111493401678e+00       6.749858479461e-03      -4.522063543303e+01       7.768924407090e-08       2.664682970026e-04      -1.641781535965e-06 
  145       4.216472764919e+03       1.109264546194e+00       6.850879960945e-03      -4.538405626307e+01       7.723769702707e-08       2.643671775100e-04      -1.628415782762e-06 
  146       4.250027001604e+03       1.106564062207e+00       6.952862663214e-03      -4.552531037014e+01       7.678714589514e-08       2.623055835752e-04      -1.615548326768e-06 
  147       4.283431519443e+03       1.103397584315e+00       7.055810345348e-03      -4.564403256516e+01       7.633865711353e-08       2.602842135198e-04      -1.603144067132e-06 
  148       4.316678044386e+03       1.099771478466e+00       7.159726667536e-03      -4.573986789893e+01       7.589318759097e-08       2.583033086466e-04      -1.591160966403e-06 
  149       4.349758018417e+03       1.095692855173e+00       7.264615188324e-03      -4.581247196430e+01       7.545157262756e-08       2.563626290497e-04      -1.579549751538e-06 
  150       4.382662593621e+03       1.091169582722e+00       7.370479361871e-03      -4.586151119836e+01       7.501451339601e-08       2.544614290280e-04      -1.568253610358e-06 
  151       4.415382626253e+03       1.086210300386e+00       7.477322535200e-03      -4.588666318464e+01       7.458256397722e-08       2.525984321003e-04      -1.557207883463e-06 
  152       4.447908670810e+03       1.080824431634e+00       7.585147945451e-03      -4.588761695524e+01       7.415611794383e-08       2.507718056218e-04      -1.546339751610e-06 
  153       4.480230974098e+03       1.075022197343e+00       7.693958717134e-03      -4.586407329306e+01       7.373539448585e-08       2.489791350037e-04      -1.535567918547e-06 
  154       4.512339469301e+03       1.068814629007e+00       7.803757859378e-03      -4.581574503392e+01       7.332042407217e-08       2.472173975335e-04      -1.524802289300e-06 
  155       4.544223770051e+03       1.062213581950e+00       7.914548263189e-03      -4.574235736882e+01       7.291103364187e-08       2.454829357989e-04      -1.513943643928e-06 
  156       4.575873164498e+03       1.055231748538e+00       8.026332698700e-03      -4.564364814604e+01       7.250683131929e-08       2.437714307120e-04      -1.502883306726e-06 
  157       4.607276609377e+03       1.047882671388e+00       8.139113812419e-03      -4.551936817336e+01       7.210719064662e-08       2.420778741371e-04      -1.491502810898e-06 
  158       4.638422724079e+03       1.040180756579e+00       8.252894124490e-03      -4.536928152024e+01       7.171123432812e-08       2.403965411191e-04      -1.479673558672e-06 
  159       4.669299784719e+03       1.032141286863e+00       8.367676025940e-03      -4.519316581999e+01       7.131781747971e-08       2.387209617150e-04      -1.467256476892e-06 
  160       4.699895718208e+03       1.023780434878e+00       8.483461775930e-03      -4.499081257193e+01       7.092551037788e-08       2.370438924268e-04      -1.454101668051e-06 
  161       4.730198933373e+03       1.015114900080e+00       8.600253233998e-03      -4.476202660665e+01       7.053305135428e-08       2.353590831663e-04      -1.440079974838e-06 
  162       4.760200909381e+03       1.006160755733e+00       8.718051035922e-03      -4.450662379409e+01       7.014083460909e-08       2.336669042268e-04      -1.425183148924e-06 
  163       4.789893825952e+03       9.969345247274e-01       8.836855339384e-03      -4.422443370932e+01       6.974965010545e-08       2.319694099129e-04      -1.409436285990e-06 
  164       4.819269744823e+03       9.874535580779e-01       8.956666078494e-03      -4.391530074724e+01       6.936022980354e-08       2.302686034471e-04      -1.392867157762e-06 
  165       4.848320607671e+03       9.777360464021e-01       9.077482959825e-03      -4.357908442090e+01       6.897324145802e-08       2.285664318158e-04      -1.375506291813e-06 
  166       4.877038234033e+03       9.678010314003e-01       9.199305458443e-03      -4.321565965984e+01       6.858928220841e-08       2.268647805234e-04      -1.357387052269e-06 
  167       4.905414319226e+03       9.576684173354e-01       9.322132813944e-03      -4.282491710840e+01       6.820887195998e-08       2.251654682569e-04      -1.338545721444e-06 
  168       4.933440432269e+03       9.473589825128e-01       9.445964026483e-03      -4.240676342407e+01       6.783244655235e-08       2.234702414580e-04      -1.319021582369e-06 
  169       4.961108013801e+03       9.368943907601e-01       9.570797852813e-03      -4.196112157579e+01       6.746035071331e-08       2.217807688049e-04      -1.298857002257e-06 
  170       4.988408374003e+03       9.262972029072e-01       9.696632802309e-03      -4.148793114231e+01       6.709283079525e-08       2.200986356033e-04      -1.278097516862e-06 
  171       5.015332690516e+03       9.155908882654e-01       9.823467133013e-03      -4.098714861051e+01       6.673002729148e-08       2.184253380858e-04      -1.256791915766e-06 
  172       5.041872006365e+03       9.047998361083e-01       9.951298847655e-03      -4.045874767368e+01       6.637196712999e-08       2.167622776205e-04      -1.234992328575e-06 
