# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       7.182944875837e-03       1.657215873417e+07       1.646287856788e+07      -8.550111270540e+03      -8.697424126547e+03       1.241247640682e+07       4.985877961160e+06 
       7.307621915731e-03       1.651301717148e+07       1.640406163838e+07      -8.232554939776e+03      -8.374376184973e+03       1.230790436862e+07       4.967995577736e+06 
       7.432387348547e-03       1.645401682946e+07       1.634536852838e+07      -7.932129982638e+03      -8.068739762411e+03       1.220409287237e+07       4.950067496644e+06 
       7.557237522539e-03       1.639517505802e+07       1.628679972209e+07      -7.647308336143e+03      -7.778968449196e+03       1.210103153510e+07       4.932121014658e+06 
       7.682169025517e-03       1.633650225669e+07       1.622835637188e+07      -7.376623670826e+03      -7.503579088015e+03       1.199871130284e+07       4.914193530122e+06 
       7.807178667353e-03       1.627800558434e+07       1.617004476713e+07      -7.118755922917e+03      -7.241236200600e+03       1.189712743119e+07       4.896326421135e+06 
       7.932263463999e-03       1.621967945300e+07       1.611186671214e+07      -6.872593199208e+03      -6.990813683799e+03       1.179627184600e+07       4.878554307102e+06 
       8.057420622880e-03       1.616150811479e+07       1.605382002957e+07      -6.637263257247e+03      -6.751426160954e+03       1.169613296673e+07       4.860898556051e+06 
       8.182647529522e-03       1.610348453113e+07       1.599591472236e+07      -6.412138635666e+03      -6.522434111204e+03       1.159670741644e+07       4.843368328404e+06 
       8.307941735299e-03       1.604559401924e+07       1.593815217872e+07      -6.196787866314e+03      -6.303394818221e+03       1.149798477315e+07       4.825953839912e+06 
       8.433300946197e-03       1.598782608135e+07       1.588053490793e+07      -5.990918782040e+03      -6.094005654360e+03       1.139995444021e+07       4.808631820670e+06 
       8.558723012502e-03       1.593017442805e+07       1.582306324553e+07      -5.794300447139e+03      -5.894025909810e+03       1.130260344662e+07       4.791370078379e+06 
       8.684205919325e-03       1.587264175943e+07       1.576573986214e+07      -5.606699172610e+03      -5.703212783464e+03       1.120592010134e+07       4.774135520981e+06 
       8.809747777881e-03       1.581523586444e+07       1.570856624113e+07      -5.427820608342e+03      -5.521263402509e+03       1.110989156034e+07       4.756899908961e+06 
       8.935346817476e-03       1.575797139841e+07       1.565154584850e+07      -5.257278661755e+03      -5.347783723272e+03       1.101450636588e+07       4.739646326387e+06 
       9.061001378108e-03       1.570085760673e+07       1.559467505353e+07      -5.094591601651e+03      -5.182284559221e+03       1.091974891675e+07       4.722369490674e+06 
       9.186709903659e-03       1.564391198834e+07       1.553795929013e+07      -4.939205242641e+03      -5.024204827024e+03       1.082561066721e+07       4.705080813549e+06 
       9.312470935604e-03       1.558714055262e+07       1.548139462996e+07      -4.790523580711e+03      -4.872942052907e+03       1.073207841383e+07       4.687800629450e+06 
