# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   91       2.252729045456e+03       5.870873737865e-01       2.421659145571e-03      -1.598804634661e+01       1.095131234248e-07       4.768355622560e-04      -2.611285893197e-06 
   92       2.279761610071e+03       6.013905848897e-01       2.475502068713e-03      -1.657310027243e+01       1.088509057805e-07       4.712157945291e-04      -2.610057402598e-06 
   93       2.307002337519e+03       6.156519234922e-01       2.529938882312e-03      -1.716267375071e+01       1.081807629789e-07       4.656753303483e-04      -2.608142610523e-06 
   94       2.334452166349e+03       6.298590608596e-01       2.584973869367e-03      -1.775636546404e+01       1.075055202587e-07       4.602194979773e-04      -2.605931505102e-06 
   95       2.362112360394e+03       6.440007367997e-01       2.640612991197e-03      -1.835374778004e+01       1.068300520382e-07       4.548609540295e-04      -2.603064963130e-06 
   96       2.389983015290e+03       6.580656653993e-01       2.696862704303e-03      -1.895438257516e+01       1.061584839555e-07       4.496093782155e-04      -2.599127551429e-06 
   97       2.418063005791e+03       6.720425429578e-01       2.753729973516e-03      -1.955782129812e+01       1.054940606772e-07       4.444711916287e-04      -2.593644211561e-06 
   98       2.446349933087e+03       6.859200559216e-01       2.811222285146e-03      -2.016360503319e+01       1.048390062002e-07       4.394492675541e-04      -2.586076870629e-06 
   99       2.474840072114e+03       6.996868888176e-01       2.869347660132e-03      -2.077126456359e+01       1.041943764864e-07       4.345426347999e-04      -2.575820978178e-06 
  100       2.503528318880e+03       7.133317321875e-01       2.928114667184e-03      -2.138032043483e+01       1.035599042679e-07       4.297461735509e-04      -2.562201969175e-06 
  101       2.532408137769e+03       7.268432905210e-01       2.987532435937e-03      -2.199028301809e+01       1.029338358627e-07       4.250503037461e-04      -2.544471653089e-06 
  102       2.561471508867e+03       7.402102901904e-01       3.047610670098e-03      -2.260065257354e+01       1.023127598403e-07       4.204406659777e-04      -2.521804529057e-06 
  103       2.590708875273e+03       7.534214873840e-01       3.108359660590e-03      -2.321091931374e+01       1.016914273754e-07       4.158977949134e-04      -2.493294027141e-06 
