#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.238495876021e+00       1.583958968855e-05      -1.727885822425e-03      -1.033732867961e-07       4.175378353663e-08       1.043844588416e-07       1.133494952838e-13       2.087689176832e-08      -1.295914366820e-03      -1.033732663073e-07       6.010702190361e-01       6.968243694293e-01      -1.727875917299e-03      -1.550521977034e-07       2.093165429893e-04      -1.295929232339e-03       3.442091222498e-21      -1.729656010614e-03      -1.552120868213e-07       2.095319444315e-04       3.333325651865e-01      -2.058222795538e-04      -7.656536113740e-10 
       7.312408315252e+00       1.600347752351e-05      -1.763151318643e-03      -1.065521047028e-07       4.305521492915e-08       1.076380373229e-07       1.193137211219e-13       2.152760746458e-08      -1.322363488986e-03      -1.065520730401e-07       6.010695386263e-01       6.967930766827e-01      -1.763136241534e-03      -1.598404272345e-07       2.136014804915e-04      -1.322386112159e-03       1.152292863881e-20      -1.764952619997e-03      -1.600052400345e-07       2.138212813876e-04       3.333325492088e-01      -3.069301455088e-04      -1.713692643121e-09 
       7.386320754483e+00       1.616740881087e-05      -1.798769281181e-03      -1.097949839368e-07       4.438359067905e-08       1.109589766976e-07       1.255275853772e-13       2.219179533952e-08      -1.349076960892e-03      -1.097949404319e-07       6.010688352554e-01       6.967618156166e-01      -1.798748871843e-03      -1.647259676458e-07       2.179296917161e-04      -1.349107579035e-03       2.713560046508e-20      -1.800601896282e-03      -1.648958038792e-07       2.181539360775e-04       3.333325330623e-01      -4.071249223878e-04      -3.033911743033e-09 
       7.460233193713e+00       1.633138355033e-05      -1.834739584399e-03      -1.131025468005e-07       4.573919399834e-08       1.143479849959e-07       1.319989160826e-13       2.286959699917e-08      -1.376054688309e-03      -1.131024907621e-07       6.010681092679e-01       6.967305841379e-01      -1.834713679298e-03      -1.697097896217e-07       2.223011696743e-04      -1.376093543497e-03       5.269017968643e-20      -1.836603709927e-03      -1.698847499830e-07       2.225299014409e-04       3.333325167469e-01      -5.064632677209e-04      -4.723109518905e-09 
       7.534145632944e+00       1.649540174149e-05      -1.871062104550e-03      -1.164754150887e-07       4.712230822642e-08       1.178057705660e-07       1.387357066294e-13       2.356115411321e-08      -1.403296578427e-03      -1.164753458023e-07       6.010673613027e-01       6.966993807770e-01      -1.871030536819e-03      -1.747928635752e-07       2.267159078066e-04      -1.403343917537e-03       9.055317108016e-20      -1.872957933107e-03      -1.749730496862e-07       2.269491708301e-04       3.333325002624e-01      -6.049990638391e-04      -6.778288235910e-09 
       7.608058072174e+00       1.665946338390e-05      -1.907736718331e-03      -1.199142100846e-07       4.853321689383e-08       1.213330422346e-07       1.457461178157e-13       2.426660844692e-08      -1.430802538768e-03      -1.199141268123e-07       6.010665920061e-01       6.966682042119e-01      -1.907699317743e-03      -1.799761596399e-07       2.311738996033e-04      -1.430858613530e-03       1.430502033523e-19      -1.909664438368e-03      -1.801616740437e-07       2.314117376423e-04       3.333324836089e-01      -7.027835850439e-04      -9.196643449134e-09 
       7.681970511405e+00       1.682356847730e-05      -1.944763301989e-03      -1.234195525560e-07       4.997220377520e-08       1.249305094380e-07       1.530384798903e-13       2.498610188760e-08      -1.458572476519e-03      -1.234194545355e-07       6.010658018187e-01       6.966370529407e-01      -1.944719894920e-03      -1.852606476622e-07       2.356751383673e-04      -1.458637543555e-03       2.124683998714e-19      -1.946723097939e-03      -1.854515938358e-07       2.359175951070e-04       3.333324667860e-01      -7.998656432702e-04      -1.197555488950e-08 
       7.796066222067e+00       1.707697633423e-05      -2.002610502115e-03      -1.289627003354e-07       5.224929540004e-08       1.306232385001e-07       1.648687297582e-13       2.612464770002e-08      -1.501957876626e-03      -1.289625779948e-07       6.010645392628e-01       6.965890092649e-01      -2.002557474236e-03      -1.936190188485e-07       2.427084127289e-04      -1.502037339979e-03       3.580562059245e-19      -2.004620173301e-03      -1.938185559411e-07       2.429580857694e-04       3.333324404845e-01      -9.484553422039e-04      -1.696750607186e-08 
       7.910161932730e+00       1.733048772678e-05      -2.061295656884e-03      -1.346681802339e-07       5.459501648039e-08       1.364875412010e-07       1.774232262686e-13       2.729750824020e-08      -1.545971742718e-03      -1.346680316053e-07       6.010632297948e-01       6.965410179555e-01      -2.061232573497e-03      -2.022243944323e-07       2.498446984754e-04      -1.546066244072e-03       5.574416846579e-19      -2.063355615755e-03      -2.024327744538e-07       2.501016911917e-04       3.333324137789e-01      -1.095642175376e-03      -2.280462463773e-08 
       8.024257643393e+00       1.758410268095e-05      -2.120818312650e-03      -1.405382684483e-07       5.701041659483e-08       1.425260414871e-07       1.907350630941e-13       2.850520829742e-08      -1.590613734561e-03      -1.405380914680e-07       6.010618626458e-01       6.964930608839e-01      -2.120744726081e-03      -2.110803378518e-07       2.570839705207e-04      -1.590723934252e-03       8.185716396758e-19      -2.122928995046e-03      -2.112978200537e-07       2.573483907025e-04       3.333323866686e-01      -1.241575620740e-03      -2.947957306576e-08 
